Gene	Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis	Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans	Sodalis glossinidius str. morsitans	Sodalis praecaptivus strain HS1	Candidatus Sodalis pierantonius str. SOPE	Secondary endosymbiont of Ctenarytaina eucalypti	Candidatus Moranella endobia PCIT	Secondary endosymbiont of Heteropsylla cubana	Candidatus Baumannia cicadellinicola strain BGSS	Candidatus Baumannia cicadellinicola strain B-GSS	Baumannia cicadellinicola str. Hc (Homalodisca coagulata)	Candidatus Blochmannia chromaiodes str. 640	Candidatus Blochmannia pennsylvanicus str. BPEN	Candidatus Blochmannia floridanus	Candidatus Blochmannia vafer str. BVAF	Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri strain 675	Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus strain 757	Buchnera aphidicola str. Bp (Baizongia pistaciae)	Buchnera aphidicola BCc	Buchnera aphidicola (Cinara tujafilina)	Buchnera aphidicola str. F009 (Myzus persicae)	Buchnera aphidicola str. W106 (Myzus persicae)	Buchnera aphidicola str. USDA (Myzus persicae)	Buchnera aphidicola str. G002 (Myzus persicae)	Buchnera aphidicola str. Ua (Uroleucon ambrosiae)	Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)	Buchnera aphidicola str. APS (Acyrthosiphon pisum)	Buchnera aphidicola str. Tuc7 (Acyrthosiphon pisum)	Buchnera aphidicola str. LL01 (Acyrthosiphon pisum)	Buchnera aphidicola str. TLW03 (Acyrthosiphon pisum)	Buchnera aphidicola str. JF98 (Acyrthosiphon pisum)	Buchnera aphidicola str. JF99 (Acyrthosiphon pisum)	Buchnera aphidicola str. 5A (Acyrthosiphon pisum)	Buchnera aphidicola str. Sg (Schizaphis graminum)
rplF	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
rplM	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
rplN	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
rplO	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
rplP	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
rplQ	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
rplT	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
rplV	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
rplW	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
rpoA	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
