Gene	Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis	Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans	Sodalis glossinidius str. morsitans	Sodalis praecaptivus strain HS1	Candidatus Sodalis pierantonius str. SOPE	Secondary endosymbiont of Ctenarytaina eucalypti	Candidatus Moranella endobia PCIT	Secondary endosymbiont of Heteropsylla cubana	Candidatus Baumannia cicadellinicola strain BGSS	Candidatus Baumannia cicadellinicola strain B-GSS	Baumannia cicadellinicola str. Hc (Homalodisca coagulata)	Candidatus Blochmannia chromaiodes str. 640	Candidatus Blochmannia pennsylvanicus str. BPEN	Candidatus Blochmannia floridanus	Candidatus Blochmannia vafer str. BVAF	Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri strain 675	Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus strain 757	Buchnera aphidicola str. Bp (Baizongia pistaciae)	Buchnera aphidicola BCc	Buchnera aphidicola (Cinara tujafilina)	Buchnera aphidicola str. F009 (Myzus persicae)	Buchnera aphidicola str. W106 (Myzus persicae)	Buchnera aphidicola str. USDA (Myzus persicae)	Buchnera aphidicola str. G002 (Myzus persicae)	Buchnera aphidicola str. Ua (Uroleucon ambrosiae)	Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)	Buchnera aphidicola str. APS (Acyrthosiphon pisum)	Buchnera aphidicola str. Tuc7 (Acyrthosiphon pisum)	Buchnera aphidicola str. LL01 (Acyrthosiphon pisum)	Buchnera aphidicola str. TLW03 (Acyrthosiphon pisum)	Buchnera aphidicola str. JF98 (Acyrthosiphon pisum)	Buchnera aphidicola str. JF99 (Acyrthosiphon pisum)	Buchnera aphidicola str. 5A (Acyrthosiphon pisum)	Buchnera aphidicola str. Sg (Schizaphis graminum)
rplR	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
rpmB	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
tadA	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
yidC	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
der	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
fmt	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
fusA	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
groL	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
lysS	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
map	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
rpsB	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
adk	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
dapA	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
erpA	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
fabB	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
fbaA	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
folD	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
ftsH	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
ftsI	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
ftsW	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
gcp	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
glnS	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
groS	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
holA	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
holB	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
ispF	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Not core	Core	Not core	Core	Not core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
ispH	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
lepB	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
lgt	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Not core
lolD	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
mviN	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
nrdB	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
pgk	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
ppnK	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
ribA	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
rimN	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
rplJ	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
rplL	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
rplS	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
rplU	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
rpmD	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
rpoH	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core
rpsA	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
rpsN	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
rpsP	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
rpsQ	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
rpsS	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
secA	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
tilS	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
trmD	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core
ybeY	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
yeaZ	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core
yqgF	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
ssb	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
argS	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
ffh	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Not core	Not core	Core	Core
gyrA	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
metK	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
nusA	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
acpS	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
asd	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
asnS	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
bamD	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
cca	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
dapD	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
def	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Core	Core
dnaG	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
dut	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
eno	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
fabI	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
fldA	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
folC	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
gapA	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
glyQ	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
ispD	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Not core	Core	Not core	Core	Not core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
metG	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core
murB	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
murI	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
nusB	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
obg	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
pth	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
rho	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
ribB	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
ribD	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
ribE	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
ribH	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
rimM	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
rpmA	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
rpsR	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
rpsU	Core	Core	Not core	Not core	Not core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
suhB	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
dnaA	Not core	Not core	Core	Core	Core	Core	Not core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
era	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
murF	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Not core	Core	Core	Not core	Not core	Core	Not core	Not core	Core	Not core	Core	Core	Not core
rpoC	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
cdsA	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
coaD	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
hemH	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
ispB	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
kdtA	Core	Core	Core	Core	Core	Core	Not core	Core	Not core	Not core	Not core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
lptD	Not core	Not core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
lpxA	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
lpxB	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
lpxC	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Not core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
lpxD	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
lpxK	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
pgsA	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
secD	Not core	Not core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
yjgQ	Not core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Core	Core	Not core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
accA	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
accB	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
accC	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
accD	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
coaBC	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
fabA	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
ftsQ	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
kdsA	Core	Core	Core	Core	Core	Core	Not core	Core	Not core	Not core	Not core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
