Gene	Enterobacteriaceae	Endosymbiont	Gammaproteobacteria	Proteobacteria	Bacteria
adk	Core essential	Core	Core essential	Not core essential	Not core essential
dapA	Core essential	Core	Core essential	Not core essential	Not core essential
erpA	Core essential	Core	Core essential	Not core essential	Not core essential
fabB	Core essential	Core	Core essential	Not core essential	Not core essential
fbaA	Core essential	Core	Core essential	Not core essential	Not core essential
folD	Core essential	Core	Core essential	Not core essential	Not core essential
ftsH	Core essential	Core	Core essential	Not core essential	Not core essential
ftsI	Core essential	Core	Core essential	Not core essential	Not core essential
ftsW	Core essential	Core	Core essential	Not core essential	Not core essential
gcp	Core essential	Core	Core essential	Not core essential	Not core essential
glnS	Core essential	Core	Core essential	Not core essential	Not core essential
groS	Core essential	Core	Core essential	Not core essential	Not core essential
holA	Core essential	Core	Core essential	Not core essential	Not core essential
holB	Core essential	Core	Core essential	Not core essential	Not core essential
ispF	Core essential	Core	Core essential	Not core essential	Not core essential
ispH	Core essential	Core	Core essential	Not core essential	Not core essential
lepB	Core essential	Core	Core essential	Not core essential	Not core essential
lgt	Core essential	Core	Core essential	Not core essential	Not core essential
lolD	Core essential	Core	Core essential	Not core essential	Not core essential
mviN	Core essential	Core	Core essential	Not core essential	Not core essential
nrdB	Core essential	Core	Core essential	Not core essential	Not core essential
pgk	Core essential	Core	Core essential	Not core essential	Not core essential
ppnK	Core essential	Core	Core essential	Not core essential	Not core essential
ribA	Core essential	Core	Core essential	Not core essential	Not core essential
rimN	Core essential	Core	Core essential	Not core essential	Not core essential
rplJ	Core essential	Core	Core essential	Not core essential	Not core essential
rplL	Core essential	Core	Core essential	Not core essential	Not core essential
rplS	Core essential	Core	Core essential	Not core essential	Not core essential
rplU	Core essential	Core	Core essential	Not core essential	Not core essential
rpmD	Core essential	Core	Core essential	Not core essential	Not core essential
rpoH	Core essential	Core	Core essential	Not core essential	Not core essential
rpsA	Core essential	Core	Core essential	Not core essential	Not core essential
rpsN	Core essential	Core	Core essential	Not core essential	Not core essential
rpsP	Core essential	Core	Core essential	Not core essential	Not core essential
rpsQ	Core essential	Core	Core essential	Not core essential	Not core essential
rpsS	Core essential	Core	Core essential	Not core essential	Not core essential
secA	Core essential	Core	Core essential	Not core essential	Not core essential
tilS	Core essential	Core	Core essential	Not core essential	Not core essential
trmD	Core essential	Core	Core essential	Not core essential	Not core essential
ybeY	Core essential	Core	Core essential	Not core essential	Not core essential
yeaZ	Core essential	Core	Core essential	Not core essential	Not core essential
yqgF	Core essential	Core	Core essential	Not core essential	Not core essential
ssb	Core essential	Core	Not core essential	Core essential	Not core essential
argS	Core essential	Core	Not core essential	Not core essential	Core essential
ffh	Core essential	Core	Not core essential	Not core essential	Core essential
gyrA	Core essential	Core	Not core essential	Not core essential	Core essential
metK	Core essential	Core	Not core essential	Not core essential	Core essential
