Gene	Mycobacterium tuberculosis H37Rv	Synechococcus elongatus PCC 7942	Porphyromonas gingivalis ATCC 33277	Bacteroides thetaiotaomicron VPI-5482	Bacteroides fragilis 638R	Caulobacter crescentus	Brevundimonas subvibrioides ATCC 15264	Rhodopseudomonas palustris CGA009	Agrobacterium fabrum str. C58	Burkholderia thailandensis E264	Burkholderia pseudomallei K96243	Francisella novicida U112	Shewanella oneidensis MR-1	Vibrio cholerae N16961	Haemophilus influenzae Rd KW20	Escherichia coli ST131 strain EC958	Escherichia coli MG1655	Salmonella enterica serovar Typhimurium SL1344	Salmonella enterica serovar Typhi Ty2	Salmonella enterica serovar Typhi	Acinetobacter baumannii ATCC 17978	Pseudomonas aeruginosa PAO1	Helicobacter pylori 26695	Mycoplasma genitalium G37	Mycoplasma pulmonis UAB CTIP	Streptococcus agalactiae A909	Streptococcus pyogenes MGAS5448	Streptococcus pyogenes NZ131	Staphylococcus aureus NCTC 8325	Staphylococcus aureus N315	Bacillus subtilis 168
holA	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
holB	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Essential
ispF	Not analysed	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential
ispH	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential
lepB	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential
lgt	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
lolD	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
mviN	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
nrdB	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
pgk	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential
ppnK	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Essential
ribA	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
rimN	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
rplJ	Not analysed	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential
rplL	Not analysed	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential
rplS	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential
rplU	Not analysed	Essential	Essential	Non-essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential
rpmD	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
rpoH	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
rpsA	Non-essential	Essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential
rpsN	Not analysed	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential
rpsP	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential
rpsQ	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential
rpsS	Not analysed	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential
secA	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential
tilS	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential
trmD	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Not analysed	Essential	Essential	Essential	Essential	Essential
ybeY	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential
yeaZ	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Essential	Non-essential	Essential
yqgF	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential
ssb	Not analysed	Non-essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential
argS	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential
ffh	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential
gyrA	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential
metK	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential
nusA	Essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential
acpS	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Essential	Non-essential	Essential
asd	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential
asnS	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential
bamD	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
cca	Essential	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
dapD	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential
def	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
dnaG	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential
dut	Not analysed	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
eno	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential
fabI	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential
fldA	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
folC	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential
gapA	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
glyQ	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential
ispD	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential
metG	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Not analysed	Essential	Essential	Essential	Essential	Essential
murB	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Essential
murI	Essential	Essential	Non-essential	Essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential
nusB	Not analysed	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
obg	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential
pth	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential
rho	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential
ribB	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
ribD	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
ribE	Not analysed	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
ribH	Not analysed	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
rimM	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential
rpmA	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential
rpsR	Non-essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential
rpsU	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Non-essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
suhB	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
dnaA	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential
era	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Not analysed	Non-essential	Essential	Essential	Non-essential	Essential
murF	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential
rpoC	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential
cdsA	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential
coaD	Not analysed	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential
hemH	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
ispB	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential
kdtA	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
lptD	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
lpxA	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
lpxB	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
lpxC	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
lpxD	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
lpxK	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
pgsA	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential
secD	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
yjgQ	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
accA	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential
accB	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential
