Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis	Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans	Sodalis glossinidius str. morsitans	Sodalis praecaptivus strain HS1	Candidatus Sodalis pierantonius str. SOPE	Secondary endosymbiont of Ctenarytaina eucalypti	Candidatus Moranella endobia PCIT	Secondary endosymbiont of Heteropsylla cubana	Candidatus Baumannia cicadellinicola strain BGSS	Candidatus Baumannia cicadellinicola strain B-GSS	Baumannia cicadellinicola str. Hc (Homalodisca coagulata)	Candidatus Blochmannia chromaiodes str. 640	Candidatus Blochmannia pennsylvanicus str. BPEN	Candidatus Blochmannia floridanus	Candidatus Blochmannia vafer str. BVAF	Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri strain 675	Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus strain 757	Buchnera aphidicola str. Bp (Baizongia pistaciae)	Buchnera aphidicola BCc	Buchnera aphidicola (Cinara tujafilina)	Buchnera aphidicola str. F009 (Myzus persicae)	Buchnera aphidicola str. W106 (Myzus persicae)	Buchnera aphidicola str. USDA (Myzus persicae)	Buchnera aphidicola str. G002 (Myzus persicae)	Buchnera aphidicola str. Ua (Uroleucon ambrosiae)	Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)	Buchnera aphidicola str. APS (Acyrthosiphon pisum)	Buchnera aphidicola str. Tuc7 (Acyrthosiphon pisum)	Buchnera aphidicola str. LL01 (Acyrthosiphon pisum)	Buchnera aphidicola str. TLW03 (Acyrthosiphon pisum)	Buchnera aphidicola str. JF98 (Acyrthosiphon pisum)	Buchnera aphidicola str. JF99 (Acyrthosiphon pisum)	Buchnera aphidicola str. 5A (Acyrthosiphon pisum)	Buchnera aphidicola str. Sg (Schizaphis graminum)
tadA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
yidC	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
der	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fmt	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fusA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
groL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
lysS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
map	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rpsB	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
adk	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
dapA	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
erpA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fabB	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fbaA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
folD	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
ftsH	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
ftsI	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1
ftsW	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1
gcp	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glnS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
groS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
holA	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
holB	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ispF	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ispH	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
lepB	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
lgt	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0
lolD	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
mviN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
nrdB	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
pgk	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
ppnK	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ribA	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
